Addresses,Prices
"39 Sciarappa St #1, Cambridge, MA 02141","$2,700/mo
3 bds1 ba1,100 sqft"
"124 Oxford St, Cambridge, MA","$3,000 2 bds$3,000 3 bds"
"31 Blanchard Rd #1, Cambridge, MA 02138","$2,700/mo
2 bds2 ba1,050 sqft"
"5 Haskell St, Cambridge, MA","$1,550 Studio$1,550 1 bd"
"74 6th St #1, Cambridge, MA 02141","$1,950/mo
2 bds1 ba845 sqft"
"Richard Ave, Cambridge, MA 02140","$2,500/mo
3 bds1 ba-- sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,200/mo
2 bds1 ba-- sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,200/mo
2 bds1 ba577 sqft"
"22 Magazine St APT 6, Cambridge, MA 02139","$5,400/mo
4 bds2 ba1,325 sqft"
"8 Mullins Ct #1, Cambridge, MA 02141","$2,200/mo
2 bds1 ba700 sqft"
"101 Jackson St #3, Cambridge, MA 02140","$2,900/mo
3 bds2 ba1,400 sqft"
"30 Foster St, Cambridge, MA 02138","$2,800/mo
4 bds1.5 ba1,500 sqft"
"93 Prospect St APT 2B, Cambridge, MA 02139","$2,150/mo
1 bd1 ba410 sqft"
"28 Berkshire St #1, Cambridge, MA 02141","$4,500/mo
3 bds2 ba1,351 sqft"
"12 Ellery St APT 106, Cambridge, MA 02138","$2,200/mo
2 bds2 ba868 sqft"
"1247 Cambridge St E #2, Cambridge, MA 02139","$3,300/mo
3 bds2 ba1,188 sqft"
"Prospect St, Cambridge, MA 02139","$1,950/mo
2 bds1 ba-- sqft"
"9 Cottage St APT 2, Cambridge, MA 02139","$1,975/mo
1 bd1 ba650 sqft"
"284 Harvard St, Cambridge, MA","$1,800 Studio$2,250 1 bd"
"8 Museum Way FLOOR 16, Cambridge, MA 02141","$2,850/mo
2 bds2 ba1,050 sqft"
"64 Fulkerson St #2, Cambridge, MA 02141","$2,150/mo
2 bds1 ba800 sqft"
"76 Normandy Ave, Cambridge, MA 02138","$2,200/mo
2 bds1 ba1,100 sqft"
"84 Willow St #3, Cambridge, MA 02141","$2,200/mo
2 bds1 ba715 sqft"
"850 Massachusetts Ave, Cambridge, MA","$2,300+ 1 bd"
"(undisclosed Address), Cambridge, MA 02138","$1,700/mo
1 bd1 ba-- sqft"
"2 Chestnut St PH 53, Cambridge, MA 02139","$2,625/mo
1 bd1 ba822 sqft"
"Craigie Cir, Cambridge, MA 02138","$1,900/mo
1 bd1 ba-- sqft"
"Prospect St, Cambridge, MA 02139","$1,950/mo
2 bds1 ba-- sqft"
"Pearl St, Cambridge, MA 02139","$1,650/mo
1 bd1 ba-- sqft"
"12 Andrew St #2, Cambridge, MA 02139","$3,300/mo
3 bds1 ba1,200 sqft"
"3 Crawford St, Cambridge, MA","$1,800+ 1 bd"
"113 Hampshire St APT 3, Cambridge, MA 02139","$2,300/mo
3 bds1 ba850 sqft"
"388 Prospect St #2, Cambridge, MA 02139","$3,400/mo
5 bds1 ba-- sqft"
"11 Holly Ave #2, Cambridge, MA 02138","$3,200/mo
2 bds1 ba1,280 sqft"
"4 Bates St #1, Cambridge, MA 02140","$4,400/mo
3 bds1 ba2,500 sqft"
"249 Hurley St #2R, Cambridge, MA 02141","$2,600/mo
2 bds1 ba-- sqft"
"4 Chauncy St, Cambridge, MA 02138","$3,000/mo
2 bds2 ba1,200 sqft"
"84 Ellery St #1, Cambridge, MA 02138","$1,900/mo
1 bd1 ba9,999 sqft"
"20 Mcternan St #302F, Cambridge, MA 02139","$3,200/mo
2 bds1 ba1,037 sqft"
"29 Bigelow St #3, Cambridge, MA 02139","$3,800/mo
2 bds1.5 ba1,500 sqft"
"21 Rockwell St #0, Cambridge, MA 02139","$2,800/mo
2 bds1 ba1,100 sqft"
"51 Museum St APT 2, Cambridge, MA 02138","$2,000/mo
1 bd1 ba707 sqft"
"295 Concord Ave #2, Cambridge, MA 02138","$4,000/mo
3 bds2 ba1,646 sqft"
"249 Hurley St #2F, Cambridge, MA 02141","$1,800/mo
1 bd1 ba-- sqft"
"7 Harding St #1, Cambridge, MA 02141","$1,900/mo
2 bds1 ba700 sqft"
"9 Clary St, Cambridge, MA","$4,200+ 3 bds"
"42 Linnaean St, Cambridge, MA","$1,950+ 1 bd"
"5 Marcella St #1, Cambridge, MA 02141","$2,650/mo
2 bds1 ba650 sqft"
"12 Merrill St #3, Cambridge, MA 02139","$3,500/mo
3 bds1 ba9,999 sqft"
"1617 Massachusetts Ave #18, Cambridge, MA 02138","$1,900/mo
1 bd1 ba846 sqft"
"5 Lee St #15, Cambridge, MA 02139","$16,250/mo
15 bds15 ba5,532 sqft"
"351 Walden St #1, Cambridge, MA 02138","$4,000/mo
3 bds2.5 ba2,155 sqft"
"38 Fainwood Cir #1, Cambridge, MA 02139","$4,700/mo
4 bds2 ba1,300 sqft"
"212 Norfolk St #1, Cambridge, MA 02139","$2,500/mo
2 bds1 ba1,100 sqft"
"128 Magazine St APT 4, Cambridge, MA 02139","$2,375/mo
2 bds1 ba9,999 sqft"
"1 Gray St, Cambridge, MA","$2,195 1 bd$2,395 2 bds"
"3 Marney St, Cambridge, MA","$3,000+ 2 bds"
"Cambridge St, Cambridge, MA 02141","$3,000/mo
3 bds1 ba-- sqft"
"43 Linnaean St APT 1A, Cambridge, MA 02138","$2,480/mo
2 bds1 ba887 sqft"
"7 Milton St, Cambridge, MA 02140","$2,900/mo
3 bds2 ba1,200 sqft"
"165 Hampshire St APT 6, Cambridge, MA 02139","$2,800/mo
2 bds2 ba775 sqft"
"5 Rindgefield St #1, Cambridge, MA 02140","$2,400/mo
2 bds1 ba950 sqft"
"Marney St, Cambridge, MA 02141","$3,295/mo
2 bds1.5 ba800 sqft"
"122 Trowbridge St #1, Cambridge, MA 02138","$2,800/mo
2 bds1 ba948 sqft"
"89 Trowbridge St #2F, Cambridge, MA 02138","$2,000/mo
1 bd1 ba-- sqft"
"329 Harvard St, Cambridge, MA","$2,500 1 bd$2,500+ 2 bds"
"127 Fayerweather St #1, Cambridge, MA 02138","$3,100/mo
2 bds1 ba1,056 sqft"
"21 Winter St #10, Cambridge, MA 02141","$850/mo
1 bd1 ba-- sqft"
"322-5 Western Ave, Cambridge, MA","$2,700 1 bd$3,600+ 3 bds"
"29 Otis St UNIT 306, Cambridge, MA 02141","$3,000/mo
2 bds2 ba1,060 sqft"
"22 3rd St #1, Cambridge, MA 02141","$2,400/mo
3 bds1 ba990 sqft"
"1 Jay St, Cambridge, MA","$1,995 1 bd$3,600 3 bds"
"47 Inman St, Cambridge, MA","$1,900+ 1 bd"
"181 Rindge Ave #2R, Cambridge, MA 02140","$4,250/mo
5 bds2 ba-- sqft"
"22 Brookford St #1, Cambridge, MA 02140","$2,500/mo
1 bd1 ba1,000 sqft"
"Broadway, Cambridge, MA 02138","$2,500/mo
1 bd1 ba-- sqft"
"1 Garden Ct APT 1, Cambridge, MA 02138","$2,100/mo
1 bd1 ba615 sqft"
"190 Prospect St APT 5, Cambridge, MA 02139","$2,900/mo
1 bd1 ba650 sqft"
"261 Walden St #261, Cambridge, MA 02138","$2,675/mo
1 bd1 ba604 sqft"
"1 Crawford St APT 4, Cambridge, MA 02139","$2,000/mo
1 bd1 ba580 sqft"
"25 Elmer St #A, Cambridge, MA 02138","$2,800/mo
3 bds1 ba1,000 sqft"
"Hancock St, Cambridge, MA 02139","$1,950/mo
2 bds1 ba1,000 sqft"
"1697 Cambridge St APT 1, Cambridge, MA 02138","$2,050/mo
1 bd1 ba600 sqft"
"Wendell Terrace Apartments | 19-21 Wendell St, Cambridge, MA","$2,365+ 1 bd$2,860+ 2 bds"
"251 Pearl St UNIT 6, Cambridge, MA 02139","$3,400/mo
3 bds1 ba1,000 sqft"
"Hampshire St, Cambridge, MA 02139","$2,700/mo
3 bds2 ba1,100 sqft"
"340 Columbia St #1, Cambridge, MA 02141","$2,250/mo
2 bds1 ba800 sqft"
"193 Brookline St APT 1R, Cambridge, MA 02139","$2,000/mo
1 bd1 ba615 sqft"
"1137 Massachusetts Ave, Cambridge, MA","$2,100+ 1 bd"
"48 John F Kennedy St #1F, Cambridge, MA 02138","$2,350/mo
1 bd1 ba-- sqft"
"42 Fresh Pond Pl #1, Cambridge, MA 02138","$3,150/mo
2 bds2.5 ba1,481 sqft"
"377 Cardinal Medeiros Ave #A, Cambridge, MA 02141","$2,000/mo
2 bds1 ba650 sqft"
"132.5 Oxford St #11, Cambridge, MA 02138","$2,000/mo
2 bds1 ba650 sqft"
"3 Linnaean St, Cambridge, MA","$2,400 1 bd$2,900 2 bds"
"102 Inman St #4, Cambridge, MA 02139","$1,600/mo
1 bd1 ba500 sqft"
"Pleasant St, Cambridge, MA 02139","$2,695/mo
1 bd1 ba650 sqft"
"18-20 Marcella St #4, Cambridge, MA 02141","$2,350/mo
2 bds1 ba672 sqft"
"48 7th St #1, Cambridge, MA 02141","$3,500/mo
2 bds2 ba750 sqft"
"1174 Cambridge St APT 2L, Cambridge, MA 02139","$4,200/mo
3 bds2 ba1,400 sqft"
"49 Clifton St #A, Cambridge, MA 02140","$3,200/mo
5 bds2 ba1,828 sqft"
"29 Elm St APT 3, Cambridge, MA 02139","$3,000/mo
1 bd1 ba985 sqft"
"191 Harvard St #2, Cambridge, MA 02139","$4,500/mo
4 bds1 ba1,500 sqft"
"41 Roberts Rd #1, Cambridge, MA 02138","$2,350/mo
1 bd1 ba650 sqft"
"194 Prospect St, Cambridge, MA","$3,500+ 2 bds"
"228 Prospect St #1, Cambridge, MA 02139","$2,800/mo
3 bds1 ba1,200 sqft"
"4 Arlington St APT 1, Cambridge, MA 02140","$1,950/mo
1 bd1 ba484 sqft"
"31 Harris St #3, Cambridge, MA 02140","$4,100/mo
2 bds2 ba1,195 sqft"
"1103 Massachusetts Ave, Cambridge, MA 02138","$2,100/mo
1 bd1 ba619 sqft"
"25 Ware St, Cambridge, MA 02138","$9,400/mo
7 bds4 ba3,034 sqft"
"253 Norfolk St, Cambridge, MA","$3,300+ 2 bds"
"Dana St, Cambridge, MA 02138","$1,850/mo
1 bd1 ba-- sqft"
"224 Concord Ave #1, Cambridge, MA 02138","$2,925/mo
2 bds1 ba1,400 sqft"
"2 Crawford St APT 7, Cambridge, MA 02139","$1,950/mo
1 bd1 ba560 sqft"
"27 Wheeler St, Cambridge, MA","$2,350+ 1 bd"
"863 Massachusetts Ave APT 22, Cambridge, MA 02139","$2,250/mo
1 bd1 ba450 sqft"
"22 Chestnut St #1, Cambridge, MA 02139","$3,100/mo
2 bds2.5 ba1,353 sqft"
"2036 Mass Ave, Cambridge, MA","$2,900+ 3 bds"
"25 Fairfield St, Cambridge, MA","$3,000+ 3 bds"
"302 Brookline St #2, Cambridge, MA 02139","$2,425/mo
1 bd1 ba699 sqft"
"39A Lee St APT 22, Cambridge, MA 02139","$2,650/mo
1 bd1 ba750 sqft"
"Chester Street Apartments | 9-15 Chester St, Cambridge, MA","$1,325+ Studio"
"17 Otis St UNIT 711, Cambridge, MA 02141","$5,900/mo
2 bds2.5 ba1,646 sqft"
"151 Erie St #A, Cambridge, MA 02139","$2,200/mo
1 bd1 ba650 sqft"
"272 Sidney St #3, Cambridge, MA 02139","$1,950/mo
1 bd1 ba600 sqft"
"13 Fulkerson St #1, Cambridge, MA 02141","$1,900/mo
2 bds1 ba850 sqft"
"293 Harvard St #66, Cambridge, MA 02139","$2,050/mo
Studio1 ba-- sqft"
"Harvard St, Cambridge, MA 02138","$1,750/mo
1 bd1 ba-- sqft"
"15 Richdale Avenue | 15 Richdale Ave, Cambridge, MA","$2,500+ 1 bd$3,950 2 bds$4,750+ 3 bds"
"599 Cambridge St APT 302, Cambridge, MA 02141","$2,100/mo
1 bd1 ba644 sqft"
"185 Windsor St UNIT 185, Cambridge, MA 02139","$2,000/mo
3 bds1 ba825 sqft"
"54 Bay State Rd UNIT 3, Cambridge, MA 02138","$3,950/mo
3 bds2 ba1,457 sqft"
"29 Wheeler St #105, Cambridge, MA 02138","$2,350/mo
1 bd1 ba625 sqft"
"94 Spring St #1, Cambridge, MA 02141","$3,800/mo
4 bds2 ba900 sqft"
"26 Berkshire St #101, Cambridge, MA 02141","$2,850/mo
2 bds1 ba925 sqft"
"(undisclosed Address), Cambridge, MA 02140","$2,050/mo
2 bds1 ba910 sqft"
"7 Cameron | 7 Cameron Ave, Cambridge, MA","$2,842+ 1 bd$3,667+ 2 bds"
"14 Ware St APT 43, Cambridge, MA 02138","$2,200/mo
1 bd1 ba687 sqft"
"3 Ellsworth Park #3, Cambridge, MA 02139","$2,300/mo
1 bd1 ba-- sqft"
"718 Cambridge St #3, Cambridge, MA 02141","$2,100/mo
2 bds1 ba900 sqft"
"1800 Massachusetts Ave APT 10, Cambridge, MA 02140","$1,600/mo
Studio1 ba229 sqft"
"277 Mount Auburn St #3, Cambridge, MA 02138","$2,400/mo
2 bds1 ba1,000 sqft"
"10-12 Museum Way #902, Cambridge, MA 02141","$2,850/mo
2 bds2 ba1,050 sqft"
"104 Trowbridge St APT 4, Cambridge, MA 02138","$2,500/mo
2 bds1 ba712 sqft"
"285 Harvard St APT 412, Cambridge, MA 02139","$2,000/mo
2 bds1 ba592 sqft"
"1 Aberdeen Way SUITE 117, Cambridge, MA 02138","$2,300/mo
1 bd1 ba765 sqft"
"48 Norfolk St #3, Cambridge, MA 02139","$3,750/mo
3 bds1 ba1,100 sqft"
"354 Hurley St, Cambridge, MA 02141","$2,800/mo
2 bds1.5 ba900 sqft"
"64 Highland Ave APT 6, Cambridge, MA 02139","$4,000/mo
2 bds1.5 ba1,446 sqft"
"121 Elm St #1, Somerville, MA 02144","$2,500/mo
2 bds1 ba1,500 sqft"
"854 Massachusetts Ave APT 12, Cambridge, MA 02139","$1,900/mo
1 bd1 ba702 sqft"
"2443 Massachusetts Ave UNIT 10, Cambridge, MA 02140","$2,200/mo
1 bd1 ba800 sqft"
"50 Follen St, Cambridge, MA","$2,450 1 bd$3,300 3 bds"
"114 Fayerweather St #3, Cambridge, MA 02138","$2,200/mo
2 bds1 ba1,200 sqft"
"140 Hampshire St #3, Cambridge, MA 02139","$1,950/mo
2 bds1 ba850 sqft"
"46 Chilton St APT 2, Cambridge, MA 02138","$1,900/mo
1 bd1 ba740 sqft"
"14 Saint Mary Rd, Cambridge, MA 02139","$7,000/mo
6 bds2 ba2,160 sqft"
"Prescott St, Cambridge, MA 02138","$2,900/mo
2 bds1 ba-- sqft"
"39 Gold Star Rd #1, Cambridge, MA 02140","$3,100/mo
4 bds1 ba9,999 sqft"
"21 Wendell St #E, Cambridge, MA 02138","$2,725/mo
1 bd1 ba627 sqft"
"Walden Park | 205 Walden St, Cambridge, MA","$1,845+ Studio$1,855+ 1 bd$2,300 2 bds"
"100 Memorial Drive | 100 Memorial Dr, Cambridge, MA","$1,960+ Studio$2,325+ 1 bd$2,600+ 2 bds"
"111 Webster Ave #2, Cambridge, MA 02141","$3,300/mo
3 bds2 ba820 sqft"
"117 Gore St #1, Cambridge, MA 02141","$2,999/mo
2 bds1 ba9,999 sqft"
"The Residences at Central Square | 639 Massachusetts Ave, Cambridge, MA","$2,800+ 1 bd$3,300+ 2 bds"
"120 Cherry St #1, Cambridge, MA 02139","$6,000/mo
4 bds4.5 ba2,950 sqft"
"Zinc | 22 Water St, Cambridge, MA","$2,215+ Studio$2,491+ 1 bd$3,548+ 2 bds"
"(undisclosed Address), Cambridge, MA 02139","$2,645/mo
1 bd1 ba675 sqft"
"21 Kelly Rd #1, Cambridge, MA 02139","$2,800/mo
2 bds1 ba1,100 sqft"
"347 Franklin St, Cambridge, MA 02139","$2,520/mo
2 bds2 ba1,100 sqft"
"61 Plymouth St #1, Cambridge, MA 02141","$2,000/mo
2 bds1 ba700 sqft"
"56-58 Gold Star Rd, Cambridge, MA 02140","$2,750/mo
3 bds1 ba1,100 sqft"
"7 Trowbridge Pl #7, Cambridge, MA 02138","$3,800/mo
2 bds2 ba1,300 sqft"
"93 Harvey St UNIT 1, Cambridge, MA 02140","$2,250/mo
1 bd1 ba800 sqft"
"54 John F Kennedy St APT 3, Cambridge, MA 02138","$2,150/mo
1 bd1 ba495 sqft"
"6 Alberta Ter APT 4, Cambridge, MA 02140","$2,000/mo
2 bds1 ba750 sqft"
"8 Alberta Ter #2, Cambridge, MA 02140","$2,000/mo
2 bds1 ba750 sqft"
"150 Webster Ave #1, Cambridge, MA 02141","$2,700/mo
3 bds1 ba1,200 sqft"
"Watermark Kendall East | 250 Kendall St, Cambridge, MA","$2,120+ Studio$3,240+ 1 bd$3,280+ 2 bds"
"338 Western Ave #2, Cambridge, MA 02139","$2,900/mo
2 bds1 ba500 sqft"
"115 Mount Auburn St APT 12, Cambridge, MA 02138","$2,600/mo
1 bd1 ba393 sqft"
"220 Concord Ave #3, Cambridge, MA 02138","$1,645/mo
Studio1 ba350 sqft"
"37 Langdon St APT 4, Cambridge, MA 02138","$2,400/mo
2 bds1 ba621 sqft"
"9 Elmer St #2, Cambridge, MA 02138","$2,380/mo
2 bds1 ba1,100 sqft"
"45 Trowbridge St APT 1D, Cambridge, MA 02138","$2,300/mo
2 bds1 ba756 sqft"
"Westley Ave, Cambridge, MA 02140","$2,800/mo
3 bds1.5 ba-- sqft"
"2028 Massachusetts Ave #3, Cambridge, MA 02140","$4,200/mo
4 bds2 ba-- sqft"
"22 Hingham St, Cambridge, MA 02138","$2,500/mo
1 bd1 ba500 sqft"
"38 Matignon Rd #B, Cambridge, MA 02140","$4,000/mo
4 bds2 ba2,000 sqft"
"157 Walden St, Cambridge, MA 02140","$2,600/mo
3 bds1 ba2,973 sqft"
"Marcella St, Cambridge, MA 02141","$2,800/mo
3 bds1.5 ba1,000 sqft"
"Westley Ave, Cambridge, MA 02140","$2,800/mo
3 bds1.5 ba-- sqft"
"Gore St, Cambridge, MA 02141","$2,200/mo
2 bds1 ba-- sqft"
"9 Norumbega St #9, Cambridge, MA 02138","$2,550/mo
3 bds1 ba1,097 sqft"
"950 Massachusetts Ave APT 318, Cambridge, MA 02139","$3,300/mo
2 bds1.5 ba853 sqft"
"148 Berkshire St APT 4, Cambridge, MA 02141","$2,300/mo
1 bd1 ba530 sqft"
"Orrin St, Cambridge, MA 02138","$2,700/mo
2 bds1 ba-- sqft"
"28 Langdon St APT 14, Cambridge, MA 02138","$1,900/mo
1 bd1 ba600 sqft"
"35 Walden St, Cambridge, MA 02140","$3,400/mo
2 bds2 ba1,475 sqft"
"231 Charles St #3, Cambridge, MA 02141","$2,750/mo
3 bds1 ba99 sqft"
"87 Gore St, Cambridge, MA","$3,100+ 3 bds"
"25 Magnolia Ave #3, Cambridge, MA 02138","$3,000/mo
3 bds1 ba1,200 sqft"
"31 Fairmont Ave #1, Cambridge, MA 02139","$2,875/mo
1 bd1 ba750 sqft"
"Story St, Cambridge, MA 02138","$2,380/mo
1 bd1 ba700 sqft"
"167 Hampshire St APT 4, Cambridge, MA 02139","$2,995/mo
2 bds1 ba900 sqft"
"(undisclosed Address), Cambridge, MA 02139","$2,200/mo
2 bds1 ba-- sqft"
"Agassiz St, Cambridge, MA 02140","$2,200/mo
2 bds1 ba-- sqft"
"64 Sacramento St UNIT 64, Cambridge, MA 02138","$5,700/mo
3 bds2 ba2,217 sqft"
"41 Bowdoin St, Cambridge, MA","$1,900+ 1 bd"
"23 Sparks St, Cambridge, MA 02138","$6,300/mo
4 bds2.5 ba2,168 sqft"
"19 Speridakis Ter, Cambridge, MA 02139","$3,300/mo
3 bds1 ba88 sqft"
"363 Windsor St #2, Cambridge, MA 02141","$3,200/mo
2 bds1 ba1,834 sqft"
"35 Eustis St #3, Cambridge, MA 02140","$2,500/mo
2 bds1 ba725 sqft"
"Pearl St, Cambridge, MA 02139","$1,500/mo
Studio1 ba-- sqft"
"6 Garden Ct APT 2, Cambridge, MA 02138","$2,150/mo
2 bds1 ba650 sqft"
"551 Green St APT 6, Cambridge, MA 02139","$3,000/mo
3 bds1 ba938 sqft"
"Locke St, Cambridge, MA 02140","$2,500/mo
2 bds2 ba800 sqft"
"9 8th St #3, Cambridge, MA 02141","$3,500/mo
3 bds1.5 ba1,100 sqft"
"71 Chilton St #1, Cambridge, MA 02138","$2,900/mo
2 bds1 ba851 sqft"
"393 Broadway APT 14, Cambridge, MA 02139","$1,750/mo
1 bd1 ba444 sqft"
"Broadway, Cambridge, MA 02139","$2,700/mo
2 bds1 ba1,000 sqft"
"20 Bristol St #2, East Cambridge, MA 02141","$2,300/mo
3 bds1 ba900 sqft"
"202 3rd St #B, Cambridge, MA 02141","$2,700/mo
3 bds1 ba850 sqft"
"17 Otis St UNIT D602, Cambridge, MA 02141","$4,500/mo
2 bds2 ba1,059 sqft"
"6 Canal Park APT 102, Cambridge, MA 02141","$3,100/mo
1 bd1 ba834 sqft"
"77 Martin St APT 8, Cambridge, MA 02138","$2,000/mo
1 bd1 ba614 sqft"
"Forest St, Cambridge, MA 02140","$2,285/mo
2 bds1 ba-- sqft"
"2 Avon St APT 6, Cambridge, MA 02138","$2,200/mo
1 bd1 ba520 sqft"
"65 Langdon Street | 65 Langdon St, Cambridge, MA","$4,135+ 3 bds"
"720 Massachusetts Ave APT 2, Cambridge, MA 02139","$2,050/mo
2 bds1 ba-- sqft"
"6 Arlington St APT 2, Cambridge, MA 02140","$1,500/mo
Studio1 ba336 sqft"
"Massachusetts Ave, Cambridge, MA 02138","$2,775/mo
2 bds1 ba877 sqft"
"196 Sherman St #2, Cambridge, MA 02140","$2,800/mo
3 bds1 ba99,999 sqft"
"Mount Auburn St, Cambridge, MA 02138","$2,600/mo
1 bd1 ba400 sqft"
"18 Bowdoin St FLOOR 1, Cambridge, MA 02138","$4,500/mo
3 bds2 ba1,161 sqft"
"5 Centre St APT 11, Cambridge, MA 02139","$1,750/mo
1 bd1 ba474 sqft"
"6 Rice St UNIT 2, Cambridge, MA 02140","$2,200/mo
2 bds1 ba99,999 sqft"
"Trowbridge St, Cambridge, MA 02138","$2,495/mo
1 bd1 ba658 sqft"
"402 Broadway #B, Cambridge, MA 02139","$2,000/mo
2 bds2 ba1,000 sqft"
"Massachusetts Ave, Cambridge, MA 02139","$2,100/mo
1 bd1 ba550 sqft"
"35 Hawthorn St #35, Cambridge, MA 02138","$7,000/mo
4 bds3.5 ba2,112 sqft"
"371 Harvard St APT 2C, Cambridge, MA 02138","$2,750/mo
1 bd1 ba620 sqft"
"9 Meacham Rd #2, Cambridge, MA 02140","$4,000/mo
3 bds2.5 ba2,200 sqft"
"9 Watson St #2, Cambridge, MA 02139","$3,000/mo
3 bds1 ba650 sqft"
"4 Arrow St, Cambridge, MA 02138","$1,350/mo
Studio1 ba400 sqft"
"4 Chauncy Ter #3, Cambridge, MA 02138","$2,600/mo
2 bds1 ba720 sqft"
"21 Sparks St #1, Cambridge, MA 02138","$4,350/mo
4 bds2 ba1,600 sqft"
"99 Gore St #2, Cambridge, MA 02141","$2,500/mo
2 bds1 ba953 sqft"
"269 Harvard St APT 40, Cambridge, MA 02139","$2,800/mo
2 bds1 ba700 sqft"
"279 Concord Ave #3, Cambridge, MA 02138","$4,400/mo
4 bds2 ba1,300 sqft"
"5 Arlington St APT 22, Cambridge, MA 02140","$2,100/mo
1 bd1 ba538 sqft"
"Standish St, Cambridge, MA 02138","$2,400/mo
2 bds1 ba-- sqft"
"124 Berkshire St, Cambridge, MA","$3,600+ 4 bds"
"281 Harvard St, Cambridge, MA","$2,500+ 1 bd"
"1699 Cambridge St APT 4, Cambridge, MA 02138","$2,175/mo
1 bd1 ba625 sqft"
"(undisclosed Address), Cambridge, MA 02140","$2,800/mo
2 bds1 ba1,184 sqft"
"Park77 | 77 New St, Cambridge, MA","$2,550+ Studio$2,900+ 1 bd$3,800+ 2 bds"
"116 Western Ave, Cambridge, MA 02139","$2,200/mo
2 bds1 ba-- sqft"
"162 Clark St, Cambridge, MA 02139","$4,950/mo
2 bds1.5 ba1,339 sqft"
"169 Erie St #A, Cambridge, MA 02139","$2,000/mo
1 bd1 ba400 sqft"
"67 Plymouth St #3, Cambridge, MA 02141","$2,800/mo
3 bds1 ba1,200 sqft"
"1925 Massachusetts Ave APT 7, Cambridge, MA 02140","$3,000/mo
3 bds1 ba800 sqft"
"1699 Cambridge St APT 1, Cambridge, MA 02138","$1,700/mo
1 bd1 ba368 sqft"
"23 Hammond St #1, Cambridge, MA 02138","$2,800/mo
2 bds1 ba1,200 sqft"
"Saville St, Cambridge, MA 02138","$3,000/mo
2 bds1 ba990 sqft"
"32 Suffolk St #1, Cambridge, MA 02139","$6,000/mo
5 bds2 ba2,300 sqft"
